Source_orig,Target_orig,Source,Target
RPHA-0848,RPHA-1024,Dobokai Mihály,Szegedi Gergely
RPHA-0852,RPHA-1024,Bornemisza Miklós,Szegedi Gergely
RPHA-0853,RPHA-1013,Balassi Bálint,Ilosvai Selymes Péter
RPHA-1008,RPHA-0853,Balassi Bálint,Balassi Bálint
RPHA-0863,RPHA-1496,Sztárai Mihály,Zeleméri László
RPHA-0863,RPHA-1209,Sztárai Mihály,Skarica Máté
RPHA-0863,RPHA-1024,Sztárai Mihály,Szegedi Gergely
RPHA-0863,RPHA-0983,Sztárai Mihály,Sztárai Mihály
RPHA-0983,RPHA-0863,Sztárai Mihály,Sztárai Mihály
RPHA-1021,RPHA-0864,Massay Ágnes,Mádai Mihály
RPHA-0868,RPHA-1306,Sztárai Mihály,Szegedi Gergely
RPHA-0941,RPHA-0868,Sztárai Mihály,Sztárai Mihály
RPHA-0869,RPHA-1496,Sztárai Mihály,Zeleméri László
RPHA-0869,RPHA-1298,Sztárai Mihály,Szegedi Gergely
RPHA-0869,RPHA-1209,Sztárai Mihály,Skarica Máté
RPHA-0869,RPHA-1062,Sztárai Mihály,Dézsi András
RPHA-0869,RPHA-1024,Sztárai Mihály,Szegedi Gergely
RPHA-0877,RPHA-1496,Bogáti Fazakas Miklós,Zeleméri László
RPHA-0877,RPHA-1298,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-0877,RPHA-1209,Bogáti Fazakas Miklós,Skarica Máté
RPHA-0877,RPHA-1189,Bogáti Fazakas Miklós,Kákonyi Péter
RPHA-0877,RPHA-1024,Bogáti Fazakas Miklós,Szegedi Gergely
RPHA-1414,RPHA-0877,Bogáti Fazakas Miklós,Bogáti Fazakas Miklós
RPHA-1312,RPHA-0877,Bogáti Fazakas Miklós,Bogáti Fazakas Miklós
RPHA-1054,RPHA-0877,Bogáti Fazakas Miklós,Bogáti Fazakas Miklós
RPHA-0594,RPHA-0877,Bogáti Fazakas Miklós,Bogáti Fazakas Miklós
RPHA-0422,RPHA-0877,Bogáti Fazakas Miklós,Bogáti Fazakas Miklós
RPHA-0878,RPHA-1496,Sztárai Mihály,Zeleméri László
RPHA-0878,RPHA-1209,Sztárai Mihály,Skarica Máté
RPHA-0878,RPHA-1024,Sztárai Mihály,Szegedi Gergely
RPHA-4020,RPHA-0889,Beythe András,Móric Lőrinc
RPHA-1414,RPHA-0894,Bogáti Fazakas Miklós,Sztárai Mihály
RPHA-1392,RPHA-0894,Bogáti Fazakas Miklós,Sztárai Mihály
RPHA-1324,RPHA-0894,Bornemisza Péter,Sztárai Mihály
RPHA-1316,RPHA-0894,Erdélyi Máté,Sztárai Mihály
RPHA-0957,RPHA-0894,Dévai Mátyás,Sztárai Mihály
RPHA-0895,RPHA-0895,Dézsi András,Dézsi András
RPHA-0902,RPHA-3020,Balassi Bálint,Dobó Jakab
RPHA-2003,RPHA-0910,Bogáti Fazakas Miklós,Gálszécsi István
RPHA-0932,RPHA-1496,Sztárai Mihály,Zeleméri László
RPHA-0932,RPHA-1209,Sztárai Mihály,Skarica Máté
RPHA-0932,RPHA-1062,Sztárai Mihály,Dézsi András
RPHA-0932,RPHA-1024,Sztárai Mihály,Szegedi Gergely
RPHA-0575,RPHA-0936,Bogáti Fazakas Miklós,Nagyfalvi György
RPHA-0548,RPHA-0936,Bogáti Fazakas Miklós,Nagyfalvi György
RPHA-0944,RPHA-0945,Kecskeméti Vég Mihály,Szegedi Gergely
RPHA-0945,RPHA-1024,Szegedi Gergely,Szegedi Gergely
RPHA-0945,RPHA-0945,Szegedi Gergely,Szegedi Gergely
RPHA-0548,RPHA-0957,Bogáti Fazakas Miklós,Dévai Mátyás
RPHA-1181,RPHA-0958,Bogáti Fazakas Miklós,Dézsi András
RPHA-0964,RPHA-1244,Bogáti Fazakas Miklós,Tinódi Sebestyén
RPHA-0966,RPHA-1249,Bogáti Fazakas Miklós,Pataki Névtelen
RPHA-0983,RPHA-1496,Sztárai Mihály,Zeleméri László
RPHA-0983,RPHA-1209,Sztárai Mihály,Skarica Máté
RPHA-0983,RPHA-1024,Sztárai Mihály,Szegedi Gergely
RPHA-1345,RPHA-0983,Szegedi Gergely,Sztárai Mihály
RPHA-1295,RPHA-0983,Sztárai Mihály,Sztárai Mihály
RPHA-1000,RPHA-1013,Balassi Bálint,Ilosvai Selymes Péter
